運勢,和歌／漢詩,現代語訳,願望,待人,失物,旅行,商売,学問,争事,恋愛,転居,病気
大吉,青山に 雲居晴れわたり 見渡せば 千里の外まで 空さやけし,心が晴れ渡り、見通しが良く、全てが明るい,必ず叶う,必ず来る,必ず見つかる,大吉,繁盛する,才能開く,勝つ,成就する,吉,全快する
大吉,春風や 花の香におう 明け方は 清き光に 満ちあふれたり,新たな始まりがあり、幸運に恵まれる,叶う,来る,見つかる,吉,利益あり,優秀の成績,勝つ,良縁あり,吉,回復する
大吉,泰山不動 地位安如山,大きな山のように揺るぎなく、安定している,やがて叶う,遅れて来る,見つかる,吉,順調,努力が実る,和解する,良い,吉,回復する
大吉,千秋萬歳 福禄永隆,千年も万年も、福と禄が永く繁栄する,必ず叶う,待てば来る,探せば見つかる,大吉,大繁盛,優れた成績,勝利,大吉,大吉,速やかに回復
大吉,雲晴れて 月影清き 夜半なれば 心も晴るる 不思議なりけり,困難が去り、心も晴れやかになる,叶う,来る,いずれ見つかる,問題なし,安定,上達する,争わぬが吉,焦らず進めよ,吉,快方に向かう
大吉,春霞 晴れゆく空の 広ごりて 万代栄ゆる 光を見るかな,広がる晴れた空のように、長く栄える,必ず叶う,来る,見つかる,大吉,繁盛する,成功する,勝つ,成就する,吉,全快する
大吉,玉山瑞雲 柔和吉祥,美しい山に瑞祥の雲がかかり、柔和で吉兆である,叶う,来る,見つかる,大吉,利益あり,秀でる,有利,良縁あり,吉,回復する
大吉,池水静かに 月影宿る 散らぬ間に 折りてなげかぬ 花の色かな,穏やかな心境で物事が上手く進む,必ず叶う,来る,見つかる,吉,大繁盛,優れた成績,勝利,成就する,大吉,全快する
大吉,若松の 色も変わらぬ 常盤木の 末も繁栄す 久しかるべし,変わらぬ安定と長く続く繁栄がある,叶う,来る,見つかる,吉,安定した利益,着実に向上,有利,良縁あり,吉,回復する
大吉,明月照高楼 清風拂素襟,明るい月が高楼を照らし、清らかな風が衣を撫でる,必ず叶う,必ず来る,必ず見つかる,大吉,繁盛する,秀でる,勝利,大吉,大吉,全快する
大吉,日の本の 光はるかに 輝きて 世に知らせける 君が徳かな,太陽のように広く輝き、その徳が世に知られる,叶う,来る,見つかる,吉,発展する,才能開く,勝つ,良縁あり,吉,回復する
大吉,空澄みて 風の便りも 良きときは 花も実もなる 春の光かな,環境が整い、花も実もなる繁栄の時,必ず叶う,待てば来る,見つかる,大吉,繁盛する,成功する,有利,成就する,吉,全快する
大吉,三春景明媚 萬物皆欣然,春の景色が明るく美しく、万物が喜び輝いている,叶う,来る,見つかる,吉,利益あり,優れた成績,勝つ,良縁あり,良い,回復する
大吉,初春の 若菜摘みつつ 千代を経て 栄ゆく末の 楽しかるべし,若々しい始まりから長く栄える末を楽しむ,必ず叶う,必ず来る,必ず見つかる,大吉,大繁盛,才能開花,勝利,大吉,大吉,全快する
大吉,天清く 地も清らかに 澄みわたる 心の内の 光なるらむ,天地ともに清らかで、心の内も澄み渡る,叶う,来る,見つかる,吉,発展する,成果出る,有利,成就する,吉,快方に向かう
大吉,富嶽巍然 萬古長青,富士山のように堂々として、永遠に栄える,必ず叶う,待てば来る,必ず見つかる,大吉,大利益,大成功,勝利,大吉,大吉,全快する
大吉,松の葉の 色変わらずに 千代を経て 繁栄うれし 今日の光かな,松のように変わらず長く繁栄し続ける,叶う,来る,見つかる,吉,順調,上達する,有利,良好,吉,回復する
吉,春の霞 遠き山辺を 包みつつ 近き世の中 朗らかにせり,霞がかかっていても明るい未来が見える,努力次第,来る可能性高い,おそらく見つかる,支障なし,安定,進歩する,不利,進展する,良い,回復の兆し
吉,軽風送暖 鴬語芳菲,軽やかな風が暖かさを運び、鶯が春を告げる,叶う見込みあり,来る,いずれ見つかる,問題なし,安定,上達する,争わぬが吉,焦らず進めよ,吉,快方に向かう
吉,色かへぬ 松も千年の 緑して 変わらぬ道の 末ぞ楽しき,変わらぬ松のように、安定した前途がある,努力次第,来る,見つかる,吉,順調,上達する,不利,良縁あり,吉,回復する
吉,春風や 梅の花散る 庭の面に 心の塵も 払いたまへり,心の中の煩わしさも払われていく,時間かかるが叶う,来る,おそらく見つかる,吉,順調,努力実る,不利,良好,良い,回復の兆し
吉,春雨の 滋くを受けて 若草の 萌え出づる色の 明るさよ,恵みの雨で草が生い茂るように、順調に進む,叶う見込みあり,来る,いずれ見つかる,問題なし,安定,上達する,争わぬが吉,焦らず進めよ,吉,快方に向かう
吉,閑雲野鶴 自在逍遙,雲がのんびりと流れ、鶴が野を飛び回るように自由,努力次第,待てば来る,見つかる,吉,順調,進歩する,和解に向かう,徐々に進展,良い,回復する
吉,小川より 澄みて流るる 清水かな 汲めども尽きぬ 恵みなるらむ,清らかな流れのように、尽きない恵みがある,叶う,来る,おそらく見つかる,吉,順調,努力実る,不利,良好,良い,回復の兆し
吉,月清く 風爽やかに 秋の夜の 心も澄める 夜半の月かな,澄んだ月のように、心も晴れやかになる,叶う見込みあり,来る,いずれ見つかる,問題なし,安定,上達する,争わぬが吉,焦らず進めよ,吉,快方に向かう
吉,日月光明 天地清明,日月が明るく輝き、天地が清らかで明るい,努力次第,来る,見つかる,吉,順調,上達する,不利,良縁あり,吉,回復する
吉,雪解けて 流るる水の 清きかな 心の内も かくありたしな,雪解け水のように清らかな心持ちになる,時間かかるが叶う,来る,おそらく見つかる,吉,順調,努力実る,不利,良好,良い,回復の兆し
吉,平坦な 道行く人の 安けれど 坂路登れば 見晴らし良きかな,平坦な道も良いが、坂を登れば展望が開ける,叶う見込みあり,来る,いずれ見つかる,問題なし,安定,上達する,争わぬが吉,焦らず進めよ,吉,快方に向かう
吉,流水行雲 去留自在,流れる水や行く雲のように、自然体で進む,努力次第,待てば来る,見つかる,吉,順調,進歩する,和解に向かう,徐々に進展,良い,回復する
吉,朝日さす 光に映える 峰の雪 心清らに 照り輝けり,朝日に輝く雪のように、心も清らかに輝く,叶う,来る,おそらく見つかる,吉,順調,努力実る,不利,良好,良い,回復の兆し
吉,春の野に 咲ける花々 色々に 心も晴るる 今日の日なるぞ,色とりどりの花のように、心も晴れやかになる,叶う見込みあり,来る,いずれ見つかる,問題なし,安定,上達する,争わぬが吉,焦らず進めよ,吉,快方に向かう
吉,雲散霧消 晴空萬里,雲や霧が消え去り、晴れ渡った空が広がる,努力次第,来る,見つかる,吉,順調,上達する,不利,良縁あり,吉,回復する
吉,夏の雨 しばし降りては 晴れ間より 射す日の光 心地よきかな,雨上がりの晴れ間のように、明るい未来が待つ,時間かかるが叶う,来る,おそらく見つかる,吉,順調,努力実る,不利,良好,良い,回復の兆し
吉,小舟漕ぎ 大海原を 渡るとも 風波恐れず 行き着くべしな,困難があっても恐れずに進めば、目的地に着く,叶う見込みあり,来る,いずれ見つかる,問題なし,安定,上達する,争わぬが吉,焦らず進めよ,吉,快方に向かう
吉,竹柏同春 雨露均沾,竹と柏が共に春を迎え、雨露が平等に恵みを与える,努力次第,待てば来る,見つかる,吉,順調,進歩する,和解に向かう,徐々に進展,良い,回復する
吉,坂を上り 一息ついて 見渡せば 麓を照らす 夕日影かな,困難を乗り越えると、美しい景色が待っている,叶う,来る,おそらく見つかる,吉,順調,努力実る,不利,良好,良い,回復の兆し
吉,雨上がり 垂れし滴の 玉のごと 輝く希望 見えて楽しき,雨上がりの滴のように、輝く希望が見える,叶う見込みあり,来る,いずれ見つかる,問題なし,安定,上達する,争わぬが吉,焦らず進めよ,吉,快方に向かう
吉,花自幽香 玉韻天成,花は自ずから香り、美しい音色は天然のまま,努力次第,来る,見つかる,吉,順調,上達する,不利,良縁あり,吉,回復する
吉,朝露の 輝く草の 美しく 心も清く 澄みわたるかな,朝露のように清らかで美しい心境になる,時間かかるが叶う,来る,おそらく見つかる,吉,順調,努力実る,不利,良好,良い,回復の兆し
吉,川の流れ 石にあたりて 音立てつ 進む道筋 明らかにせり,川の流れのように、進むべき道が明らかになる,叶う見込みあり,来る,いずれ見つかる,問題なし,安定,上達する,争わぬが吉,焦らず進めよ,吉,快方に向かう
吉,靜中得樂 閑處知心,静かな中に楽しみを得て、閑かな処で心を知る,努力次第,待てば来る,見つかる,吉,順調,進歩する,和解に向かう,徐々に進展,良い,回復する
